REGION;DEPARTEMENT;NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;coordonnees_finales;coordonnees_ban;coordonnees_cp
BOURGOGNE-FRANCHE-COMTE;JURA;Viséum-Musée de la Lunette;3936801;Place Jean Jaurès;39400;MOREZ HAUTS DE BIENNE;0384333930;0384332642;www.musee-lunette.fr ou www.musees-franchecomte.com;Jours fériés et du 1er au 25 décembre inclus;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h, juillet-août de 10h à 18h;;26/05/2002;;46.521, 6.022578;46.521, 6.022578;46.5030859232, 6.02288479651
BOURGOGNE-FRANCHE-COMTE;JURA;Musée Sarret de Grozon;3901301;Grande Rue;39600;ARBOIS;0384374790;0384662550;Site des musées de la région;;Ouvert du 1er juillet au 31 août de 15h à 18h30 du mercredi au lundi et du 1er au 16 septembre du jeudi au dimanche de 15h à 18h30;;01/02/2003;;46.903356, 5.773137;46.903356, 5.773137;46.9334374908, 5.75807141934
BOURGOGNE-FRANCHE-COMTE;YONNE;Musée d'Art et d'Histoire du Puisaye;8947201;5, Rue Paul-Huillard;89130;VILLIERS-SAINT-BENOIT;0386457305;0386457305;https://mahdepuisaye.wordpress.com;1er mai, 1er et 11 novembre, 16 octobre au 14 mars 2009;Ouvert du 15 mars au 30 avril et du 1er octobre au 15 novembre du mercredi au lundi de 9h à 12h et de 14h à 17h et du 2  mai au 30 septembre de 9h à 12h et de 14h à 18h;;01/02/2003;;47.780696, 3.20846;47.780696, 3.20846;47.7204896398, 3.24989314971
BOURGOGNE-FRANCHE-COMTE;TERRITOIRE DE BELFORT;Musée Frédéric Japy;9000901;16, Rue Frédéric Japy;90500;BEAUCOURT;0384565752;0384569733;www.musees-des-techniques.org ou www.ville-beaucourt.fr;1er février au 1er mars - 1er mai, 1er novembre;Ouvert du 1er mercredi de mars au dernier dimanche avant Noël du mercredi au dimanche de 14h à 17h;;01/02/2003;;47.485011, 6.922453;47.485011, 6.922453;47.4797366638, 6.92587332829
BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;Maison du Blé et du Pain;7156601;2, Rue de l'Egalité;71350;VERDUN-SUR-LE-DOUBS;0385915709;0385919091;www.verdunsurledoubs.fr rubrique culture ou www.ecomusee-de-la-bresse.com;1er mai, De mi-décembre  à fin janvier;Ouvert tous les jours de 14h à 18h;;01/02/2003;;46.898754, 5.022453;46.898754, 5.022453;46.9191804565, 5.01728038067
BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;Musée Départemental de Préhistoire de Solutré;7152601;Le Grand Pré;71960;SOLUTRE-POUILLY;0385358324;0385358683;www.musees-bourgogne.org;15 écembre au 15 janvier, 1er mai;Ouvert d'avril à septembre de 10h à 18 et d'octobre à mars de 10h à 17h;;01/02/2003;;46.294701, 4.728982;46.294701, 4.728982;46.3488393103, 4.71662195567
BOURGOGNE-FRANCHE-COMTE;YONNE;Musée Colette;8936801;Château;89520;SAINT-SAUVEUR-EN-PUISAYE;0386456195;0386455584;www.musee-colette.com;Décembre, janvier;"Ouvert en saison du 1"" avril au 31 octobre du mercredi au lundi de 10h à 18h
Hors saison : contacter le musée";;01/02/2003;;47.617677, 3.199325;47.617677, 3.199325;47.5878935462, 3.24481774824
BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;Musée de Bibracte;7144001;Mont Beuvray Col du Rebout;71990;SAINT-LEGER-SOUS BEUVRAY;;;http://www.bibracte.fr;Décembre à mi-mars;Ouvert en 2017 du 11 mars au 12 novembre de 10 h à 18h, en juillet et août tous les jours jusqu'à 19 h, et les mercredis jusqu'à 22 h.;Mercredi jusqu'à 22h;17/11/2017;;46.934539, 4.062979;46.934539, 4.062979;46.9426625414, 4.10521172287
BOURGOGNE-FRANCHE-COMTE;YONNE;Musée Muncipal;8938701;"135 rue des Déportés et de la Résistance
Passage Moïse";89100;SENS;0386838890;0386838899;Site des musées de Bourgogne;1er janvier, le 1er mai, le 14 juillet, le 1er novembre et le 25 décembre.;Ouvert du 1er octobre au 31 mai les lundis, jeudis et vendredis de 14h à 18h, les mercredis, samedis et dimanches de 10h à 12h et de 14h à 18h, du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h, et en période de vacances scolaires (toutes zones) de;;01/02/2003;;48.1970131192, 3.28915152427;;48.1970131192, 3.28915152427
BOURGOGNE-FRANCHE-COMTE;YONNE;Musée Municipal de Tonnerre;8941801;22, Rue Rougemont;89700;TONNERRE;0386550382;;;;;;01/02/2003;;47.855191, 3.97484;47.855191, 3.97484;47.8601659941, 3.96178674157
BOURGOGNE-FRANCHE-COMTE;TERRITOIRE DE BELFORT;Musée d'Art et d'Histoire;9001001;"Château de Belfort
B.P. 733";90020;BELFORT cedex;0384542551;0384285296;www.musees-franchecomte.com ou http://www.ville-belfort.fr/;le 1er novembre, 25 décembre, 1er janvier;Ouvert du 1er octobre au 31 mars du mercredi au lundi de 9h à 12h et de 14h à 17h, du 1er avril au 31 juin et en septembre du mercredi au lundi de 9h à 12h et de 14h à 18h, du 1et juillet au 31 août tous les jours de 9h à 18h;;01/02/2003;;;;
BRETAGNE;FINISTERE;Musée National de la Marine;2901902;Château de Brest;29240;BREST;0298221239;0298433054;www.musee-marine.fr/brest;Janvier, 1er mai, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 18h30 et d'octobre à mars du mercredi au lundi de 13h30 à 18h30;;06/01/2002;;;;
BRETAGNE;ILE ET VILAINE;Musée de la Faucillonnaie;3519401;Manoir de la Faucillonnaie;35500;MONTREUIL-SOUS-PEROUSE;0299750454;0299740826;Site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 30 avril de 10h à 12h15 et de 14h à 17h30 le lundi, du mercredi au samedi, et le dimanche de 14h à 17h30 et du 1er mai au 30 septembre de 10h à 12h15 et de 14h à 18h du mercredi au lundi;;01/02/2003;2011-03-21 00:00:00;48.150498, -1.235143;48.150498, -1.235143;48.1379500219, -1.18967633212
CENTRE-VAL DE LOIRE;CHER;Musée Saint-Vic;1819701;Cours Manuel;18200;SAINT-AMAND-MONTROND;0248965520;0248821091;www.ville-saint-amand-montrond.fr;1er janvier, 1er mai, 25 décembre;Ouvert du 1er avril au 30 septembre du mercredi au vendredi de 10h à 12h et de 14h à 18h, le samedi, dimanche et jours fériés de 14h à 18h, du 1er octobre au 31 mars du mercredi au vendredi de 10h à 12h et de 14h à 17h, le samedi, dimanche et jours fériés;;01/02/2003;;46.720868, 2.506689;46.720868, 2.506689;46.7360453328, 2.4965207851
BRETAGNE;MORBIHAN;Musée de la Compagnie des Indes;5618102;Citadelle de Port-Louis;56290;PORT-LOUIS;0297821913;0297824288;http://musee.lorient.fr;1er mai, mi- décembre au 31 janvier inclus;Ouvert du 1er février au 30 avril du mercredi au lundi de 10h à 12h30 et de 14h à 18h, du 2 mai au 31 août tous les jours de 10h à 18h30, du 1er septembre au 15 décembre du mercredi au lundi de 13h30 à 18h;;01/02/2003;;47.706409, -3.35365;47.706409, -3.35365;47.7098515691, -3.34971382473
BRETAGNE;MORBIHAN;Musée du Faouët;5605701;1, Rue de Quimper;56320;LE FAOUET;0297231527;0297233674;www.museedufaouet.fr;Mi octobre à fin mars;"Ouvert du 1er avril au 17 juin puis du 1er juillet au 14 octobre.
Ouvert en Avril, mai, juin, septembre et octobre du mardi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, les jours fériés de 10h à 12h et de 14h à 18h. En juillet-août t";;16/01/2012;;48.031817, -3.490833;48.031817, -3.490833;48.0259259973, -3.47528585034
BRETAGNE;ILE ET VILAINE;Ecomusée du Pays de Montfort;3518801;2, Rue du Château;35160;MONTFORT-SUR-MEU;0299093181;0299093276;www.ecomusee-broceliande.com  - http://ecomuseepaysmontfort.free.fr/;;Ouvert du mardi au vendredi de 9h à 12h et de 14h à 18h toute l'année du 1er avril au 30 septembre du mardi au vendredi et le samedi, dimanche et jours fériés de 14h à 18h;;01/02/2003;;48.137716, -1.956162;48.137716, -1.956162;48.0975671546, -1.94600681697
BRETAGNE;ILE ET VILAINE;Musée Saint-Nicolas;3536001;15, Rue Pasteur;35506;VITRE;0299750454;0299740826;site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h15 et de 14h à 17h30 le vendredi, samedi et le dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h30 tous les jours;;01/02/2003;2017-07-10 00:00:00;;;
BRETAGNE;ILE ET VILAINE;Musée de Bretagne;3523801;"46, boulevard Magenta
CS 51138";35011;RENNES Cedex;0223406670;0223406694;www.musee-bretagne.fr;28/08 au 10/09/2017 inclus 1er janvier;Ouvert de septembre à juin. Ouvert du mardi au vendredi de 12h à 19h  et de 13h à 19h en juillet-août, durant les petites vacances scolaires de 10h à 19h, et samedi et dimanche de 14h à 19h;Mardi jusqu'à 21h;01/02/2003;;;;
BRETAGNE;ILE ET VILAINE;Musée du Château de Vitré;3536002;Place du Château;35506;VITRE Cedex;0299750454;0299740826;site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h30 et de 14h à 17h30 le lundi, du mercredi au vendredi, le samedi et dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h à 12h30 et de 14h à 18h tous les jours et en juillet-août tous les jours de;;01/02/2003;;;;
BRETAGNE;ILE ET VILAINE;Musée International du Long-Cours Cap-Hornier;3528801;"Tour Solidor
Esplanade du Commandant Menguy - B.P. 147";35401;SAINT-MALO CEDEX;0299407116;0299407156;Site de la ville - www.ville-saint-malo.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 12h30 et de 14h à 18h et d'octobre à mars de 10h à 12h et de 14h à 18h du mardi au dimanche;;01/02/2003;;;;
BRETAGNE;ILE ET VILAINE;Musée des Beaux-Arts;3523802;20, Quai Emile Zola;35100;RENNES;0223621745;0223621749;www.mbar.org;Jours fériés;Ouvert le mardi au vendredi de 10h à 17h et le samedi et dimanche de 10h à 18h;;06/01/2002;;;;
AUVERGNE-RHÔNE-ALPES;RHÔNE;Musée Henri Malartre;6916801;645, Rue du musée;69270;ROCHETAILLEE-SUR-SAONE;0478221880;0478226960;www.musee-malartre.com;25 décembre, 1er janvier et dernière semaine de janvier;Ouvert du mardi au dimanche et les lundis fériés de 9h à 18h, en juillet et août  de 10h à 19h. Ouverture de 10h30 à 18h le 3ème vendredi de chaque mois (sauf en juillet et août);;01/02/2003;;45.845041, 4.837455;45.845041, 4.837455;45.8483845362, 4.85660481546
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Musée Alésia - Centre d'Interprétation;2100801;"B.P. 49
1, Route des Trois Ormeaux";21150;ALISE-SAINTE-REINE;0380969623;0380969624;www.alesia.com;Du 2 janvier au 13 février inclus pour le CI et vestiges. Du 12 novembre au 31 décembre pour les vestiges. En décembre pour le CI;Ouverture  en février-mars et novembre de 10h à 17h, d'avril à juin et de septembre à octobre de 10h à 18h, en juillet-août de 10h à 19h;;01/02/2003;;47.5309324126, 4.52615532844;;47.5309324126, 4.52615532844
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Muséum - Jardin des Sciences;2123105;"Parc de l'Arquebuse
14, Rue Jehan de Marville - 1 Avenue Albert 1er";21000;DIJON;0380488200;0380488205;www.dijon.fr;1er janvier, 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dimanche de 9h à 12h30 et de 14h à 18h, de 14h à 18h les jours fériés. Le mardi ouvert sur réservation pour les groupes;;06/01/2002;;47.3229417955, 5.03751223305;;47.3229417955, 5.03751223305
BOURGOGNE-FRANCHE-COMTE;DOUBS;Musée de la résistance et de la Déportation;2505605;"La Citadelle
Rue des Fusillés";25000;BESANCON;0381878312;0381878313;www.citadelle.com;1er janvier, 25 décembre;Ouvert de novembre à mars du mercredi au lundi de 10h à 16h45, d'avril à mai et de septembre à octobre tous les jours de 9h à 17h45 et en juillet août tous les jours de 9h à 18h45;;01/02/2003;;47.2552328934, 6.01938051129;;47.2552328934, 6.01938051129
AUVERGNE-RHÔNE-ALPES;SAVOIE;Musée des Charmettes;7306503;"Maison de Jean-Jacques Rousseau
890, Chemin des Charmettes";73000;CHAMBERY;0479333944;0479602388;www.chambery.fr/302-les-charmettes-maison-de-jean-jacques-rousseau.htm;Jours fériés;Ouvert du mardi au dimanche de 10h à 18h;;06/01/2002;;45.5704322981, 5.91500462734;;45.5704322981, 5.91500462734
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Musée de la Sidérurgie Grande Forge;2111401;La Grande Forge;21500;BUFFON;0380921035;0380924164;;;;;01/02/2003;;47.649672, 4.260959;47.649672, 4.260959;47.6439282902, 4.34417525455
AUVERGNE-RHÔNE-ALPES;SAVOIE;Musée Lapidaire;7300802;Place Maurice Mollard;73100;AIX-LES-BAINS;0479886800;0479350592;;;;;01/02/2003;;45.68876, 5.915582;45.68876, 5.915582;45.7110465411, 5.94212260662
AUVERGNE-RHÔNE-ALPES;RHÔNE;Ecomusée du Haut Beaujolais;6924801;"La Manufacture - Le Jodard
Marnand";69240;THIZY-LES-BOURGS;0474640648;;http://musees.ouestrhodanien.fr/ecomusee-du-haut-beaujolais.html;;Ouvert durant les travaux uniquement lors des journées du patrimoine de 14h à 18h;;09/07/2005;;46.068199037, 4.3380922269;;46.068199037, 4.3380922269
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Musée Archéologique;2123102;"5, Rue du Docteur Maret
CS 73310";21033;DIJON Cedex;0380488370;0380488371;Site des musées de Bourgogne - www.musees-bourgogne.org;1er janvier, 1er et 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 1er avril au 31 octobre le lundi et du  mercredi au dimanche de 9h30 à 12h30 et de 14h à 18h, du 1er novembre au 31 mars les mercredis, samedis et dimanches de 9h30 à 12h30 et de 14h à 18h;;01/02/2003;;;;
AUVERGNE-RHÔNE-ALPES;SAVOIE;Musée archéologique et minéralogique Pierre Borrione;7300601;"Maison du Tourisme Vallée
1139 Avenue de Tarentaise - B.P. 55";73212;AIME-EN-TARENTAISE Cedex;0479556700;0479556001;www.laplagne-vallée.com;Jours fériés;Ouvert du lundi au samedi en juillet-août de 10h à 12h et de 14h30 à 18h30, le reste de l'année visite guidée sur demande;;01/02/2003;;;;
GRAND EST;VOSGES;Musée de la Lutherie et de l'Archèterie Française;8830401;Cours Stanislas;88500;MIRECOURT;0329378159;0329370646;www.musee-lutherie-mirecourt.fr;Janvier, 1er mai, 25 décembre;Ouvert de février à juin, septembre et octobre du mardi au samedi de 10h à 12h et de 14h à 18h, ledimanche de 14h à 18h, en juillet-août du lundi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, en novembre et décembre le mercredi, samedi;;26/05/2002;;48.301314, 6.13577;48.301314, 6.13577;48.3096022537, 6.09770979133
GRAND EST;VOSGES;Musée Charles de Bruyères;8838301;70, Rue Charles de Gaulle;88200;REMIREMONT;0329625914;0329624250;www.remiremont.fr/culture/musees.php;Octobre - 1er janvier, 1er mai, Ascension, Toussaint, 25 décembre;Ouvert de janvier à mars du lundi au samedi de 14h à 18h, et en avril de 14h à 18h et de mai à septembre de 10h à 12h et de 14h à 18h, de novembre à décembre de 14h à 18h du mercredi au lundi;;11/08/2002;;48.016142, 6.593289;48.016142, 6.593289;48.0187075371, 6.60603974178
GRAND EST;MOSELLE;Moulin de la Blies - Musée des Techniques Faïencières;5763102;125, Avenue de la Blies;57200;SARREGUEMINES;0387989350;0387983728;http://www.sarreguemines-museum.eu/;1er Janvier 24 et 25 Décembre;Ouvert du mardi au dimanche & lundis fériés de 10h à 12h et de 14h à 18h du 1er novembre au 31 mars et du 1er avril au 31 octobre de 10h à 18h;;01/02/2003;;49.1265, 7.080124;49.1265, 7.080124;49.1056910456, 7.11772399518
HAUTS-DE-France;AISNE;Musée d'Art et d'Archéologie;0240802;32, Rue Georges Ermant;02000;LAON;0323228700;0323228705;http://ca-paysdelaon.fr/musee.html;1er janvier, 1er mai, 14 juillet, 24,25 et 31 décembre;Ouvert du mardi au dimanche 1er juin au 30 septembre de 10h à 17h et du 1er octobre au 31 mai de 13h à 17h et le matin sur rendez-vous;;01/02/2003;;49.563206, 3.626781;49.563206, 3.626781;49.5539294526, 3.59337928423
HAUTS-DE-France;AISNE;Musée Franco-Américain du Château de Blérancourt;0209301;Château;02300;BLERANCOURT;0323391471;0323396285;www.museefrancoamericain.fr;1er janvier, 1er mai, 25 décembre;Visite du pavillon Anne Morgan du mercredi au lundi de 14h à 18h. Jardins du Nouveau Monde ouverts tous les jours de 8h à 19h;;06/01/2002;;49.516035, 3.150459;49.516035, 3.150459;49.5817295222, 3.19169688143
GRAND EST;VOSGES;Musée Louis Français;8835101;30, Avenue Louis Français;88370;PLOMBIERES-LES-BAINS;0329660024;0329660600;site de la ville;;Ouvert en 2013 en visite guidée accompagnée et lors de certaines grandes manifestations organisées par la ville;;01/02/2003;;47.964095, 6.458494;47.964095, 6.458494;47.9937026909, 6.4494827214
AUVERGNE-RHÔNE-ALPES;ALLIER;Musée Municipal de Souvigny;0327501;Place Aristide Briand;03210;SOUVIGNY;0470439975;0470436618;site de la ville www.ville-souvigny.com;1er mai, 25 décembre, 1er janvier - Mars;Ouvert du 1er avril au 20 novembre du mercredi au lundi de 9h à 12h et de 14h à 18h, de juin à septembre tous les jours de 9h à 12h et de 14h à 18h, en juillet-août de 9h à 12h et de 13h à 18h;;01/02/2003;;46.534816, 3.192487;46.534816, 3.192487;46.5175879411, 3.17401702628
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;Musée-château d'Annecy;7401001;Place du Château;74000;ANNECY;0450338730;0450330084;http://musees.agglo-annecy.fr/Chateau-d-Annecy;1er janvier, dimanche et lundi de Pâques, 1er mai, 1er & 11 novembre, 25 décembre;Ouvert tous les jours de 10h30 à 18h de juin à septembre et du mercredi au lundi de 10h à 12h et de 14h à 17h d'octobre à mai;;01/02/2003;;45.897323, 6.125044;45.897323, 6.125044;45.8901612835, 6.12568603812
AUVERGNE-RHÔNE-ALPES;ARDECHE;Musée et Site Archéologiques;0731601;Place de la Déesse Soïo;07130;SOYONS;0475608886;0475608112;www.rhonecrussol.fr;Décembre et janvier;"Ouvert du 1er avril au 31 octobre du mercredi au dimanche de 14h à 18h, en juillet-août tous les jours de 10h à 19h.
Visites exceptionnelles durant les vacances de février, Toussaint et Noël";;01/02/2003;;44.887803, 4.850777;44.887803, 4.850777;44.9316322296, 4.81226403261
AUVERGNE-RHÔNE-ALPES;ARDECHE;Musée du Rhône;0732401;14, Place Auguste Faure;07300;TOURNON-SUR-RHÔNE;0475081030;0475078398;www.chateaumusee-tournon.com;du 21 décembre au 19 mars, 1er mai;Ouvert du 20 mars au 23 décembre tous les jours de 14h à 18h, en juillet-août tous les jours de 10h à 19h, et de novembre au 23 décembre, du jeudi au mardi de 14h à 17h30;;01/02/2003;;45.067885, 4.831823;45.067885, 4.831823;45.0569336345, 4.77874081855
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;Musée des Arts et Traditions Populaires de Haute Loire;4311701;;43100;LAVAUDIEU;0471760890;0471760890;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr;Décembre à mars;Ouvert du 26 mars au 30 juin et du 5 septembre au 13 novembre tous les jours, et du 1er juillet au 4 septembre tous les jours;;01/02/2003;;45.262726, 3.453911;45.262726, 3.453911;45.2692566544, 3.36500382521
AUVERGNE-RHÔNE-ALPES;DRÔME;Musée d'Art Sacré;2621801;Le Village;26540;MOURS SAINT-EUSEBE;0475029695;0475029695;www.musee-art-sacre.com;;Ouvert du 2 mai au 31 octobre de 14h30 à 18h30 du dimanche au vendredi. En dehors de ces périodes sur réservation pour les groupes de plus de 15 personnes;;01/02/2003;;45.068744, 5.056328;45.068744, 5.056328;45.0708578935, 5.05953269448
AUVERGNE-RHÔNE-ALPES;ALLIER;Musée Municipal de Gannat;0311801;Place Rantian;03800;GANNAT;0470902378;0470901522;http://tourisme-bassin-gannat.com;;Ouvert du 2ème samedi d'avril au dernier dimanche d'octobre du mardi au dimanche de 14h à 18h;;01/02/2003;;46.102176, 3.196279;46.102176, 3.196279;46.1153548371, 3.19982055617
AUVERGNE-RHÔNE-ALPES;AIN;Musée du Peigne et de la Plasturgie;0128301;"Centre Culturel Aragon
Place Georges Pompidou";01100;OYONNAX;0474819682;0474819686;Site de la ville : www.ville-oyonnax.fr/culture/museepeigneetplast.php;Janvier et jours fériés;Ouvert d'octobre à juin du mardi au samedi de 14h à 18h et le premier dimanche de chaque mois de 14h à 18h;;01/02/2003;;46.2468792013, 5.65226081977;;46.2468792013, 5.65226081977
AUVERGNE-RHÔNE-ALPES;ALLIER;Centre National du Costume de Scène et de la Scénographie;0319002;"Quartier Villars
Route de montilly";03000;MOULINS;0470207620;0470342304;www.cncs.fr;25 décembre, 1erjanvier, 1er mai et lors du montage des expositions;Ouvert tous les jours de 10h à 18h, en juillet-août de 10h à 18h30;;19/11/2009;;46.5704726367, 3.27970202933;;46.5704726367, 3.27970202933
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;Musée Crozatier;4315701;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;0471066240;0471066249;http://www.lepuyenvelay.fr/culture-et-patrimoine/musee-n15.html;Novembre à mai;Ouvert de juin à septembre de 10h à 13h et de 14h à 19h et d'octobre à novembre de 10h à 12h et de 14h à 16h;;01/02/2003;;45.0562801759, 3.86447846564;;45.0562801759, 3.86447846564
CORSE;HAUTE-CORSE;Musée Départemental d'Archéologie d'Aléria;2B00901;Fort de Matra;20270;ALERIA;0495570092;0495555700;www.isula.corsica;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du 16 mai au 30 septembre de 9h à 12h et de 13h à 18h et du 1er octobre au 15 mai de 8h à 12h et de 13h à 17h;;01/02/2003;;42.103684, 9.511502;42.103684, 9.511502;42.1585517957, 9.43977225577
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Musée Balzac;3720501;Château de Saché;37190;SACHE;0247268650;0247268028;www.musee-balzac.fr;1er janvier, 25 décembre;Ouvert d'octobre à mars de 10h à 12h30 et de 14h à 17h, d'avril à juin et septembre de 10h à 18h et en juillet-août de 10h à 19h;;30/04/2002;;47.245773, 0.54394;47.245773, 0.54394;47.2506947251, 0.473147095817
CENTRE-VAL DE LOIRE;LOIRET;Musée Girodet;4520802;2, rue de la Chaussée;45200;MONTARGIS;0238980781;0238935919;www.montargis.fr/musee.htm;Jours fériés;Ouvert du mercredi au dimanche 9h à 12h et de 13h30 à 17h30 (vendredi 17h);;27/12/2002;;47.997843, 2.737468;47.997843, 2.737468;48.0036568049, 2.78095949035
CORSE;HAUTE-CORSE;Musée de la Corse;2B09601;"La Citadelle
B.P. 73";20250;CORTE;0495452545;0495452536;www.musee-corse.com;1er mai, 24 décembre, autres jours fériés, 31 décembre au 14 janvier inclus;Ouvert du 1er novembre au 31 mars de 10h à 17h du lundi au samedi, du 1er avril au 21 juin de 10h à 18h du mardi au dimanche, du 22 juin au 20 septembre de 10h à 20h tous les jours, du 22 septembre au 31 octobre de 10h à 18h du mardi au dimanche;Du 22 juin au 21 septembre jusqu'à 20h (tous les jours);01/02/2003;;42.2819273038, 9.12300751022;;42.2819273038, 9.12300751022
CENTRE-VAL DE LOIRE;LOIR ET CHER;Musée de la Corbillière;4113601;Château de la Corbillière;41500;MER;0254817021;0254817021;;;Ouvert de janvier à mars et d'octobre à novembre de 14h30 à 18h, mercredi, samedi, et d'avril à septembre de 14h30 à 19h du mercredi au dimanche et jours fériés;;01/02/2003;;47.697721, 1.503488;47.697721, 1.503488;47.71251709, 1.45455660372
CENTRE-VAL DE LOIRE;LOIRET;Musée de la Marine de Loire;4508201;"Ecuries du Château
1, Place Aristide Briand";45110;CHATEAUNEUF-SUR-LOIRE;0238468446;0238464101;www.chateauneuf-sur-loire.com ou www.musees-centre.com;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi du 1er avril au 31 octobre de 10h à 18h et du 1er novembre au 31 mars de 14h à 18h;°;01/02/2003;;47.8743242491, 2.26314688236;;47.8743242491, 2.26314688236
CENTRE-VAL DE LOIRE;LOIR ET CHER;Muséum d'Histoire Naturelle;4101805;"""Les Jacobins"" 
Rue Anne de Bretagne";41000;BLOIS;0254742100;0254902101;www.ville-blois.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mercredi et samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h et pendant les vacances scolaires (toutes zones) du mardi au samedi de 10h à 12h et de 14h à 18h, et le dimanche de 14h à 18h.;;01/02/2003;;47.612940364, 1.32071876619;;47.612940364, 1.32071876619
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Musée de Minerve;3728201;Place du Musée;37290;YZEURES-SUR-CREUSE;0247942654;0247944332;;;Ouvert d'avril à octobre de 8h à 18h tous les jours;;01/02/2003;;46.785938, 0.87002;46.785938, 0.87002;46.8377885958, 0.932244721913
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Musée Hôtel Morin;3700301;"60, Rue Concorde
B.P. 247";37402;AMBOISE Cedex;0247234742;0247231980;Site de la ville www.ville-amboise.fr;1er octobre au 30 juin excepté du 14 au 22 novembre;Ouvert du mercredi au lundi de 10h à 12h30 et de 14h à 18h du 15 juin aux journées du patrimoine. Le reste de l'année ouvert pour les groupes sur demande;;01/02/2003;;;;
CENTRE-VAL DE LOIRE;LOIR ET CHER;Musée de Sologne;4119401;"Moulin du Chapitre
B.P. 147";41206;ROMORANTIN-LANTHENAY Cedex;0254953366;0254953360;www.museedesologne.com;Les 1er janvier, 1er mai, 25 décembre;Ouvert du 2 janvier au 31 décembre de 10h à 12h et de 14h à 18h dimanche et jours fériés de 14h à 18h;;01/02/2003;;;;
GRAND EST;MEUSE;Musée de la Céramique et de l'Ivoire;5512201;7, Avenue Carcano;55200;COMMERCY;0329920477;0329917575;https://musees-meuse.fr;novembre à mars;Ouvert d'avril à juin, septembre et octobre de 14h à 18h les week-ends et jours fériés, en juillet-août de 14h à 18h du mercredi au dimanche;;01/02/2003;;48.763489, 5.589497;48.763489, 5.589497;48.7756905537, 5.61421348951
GRAND EST;MARNE;Musée du Cloître de Notre-Dame-en-Vaux;5110804;Rue Nicolas Durant;51000;CHALONS-EN-CHAMPAGNE;0326640387;0326693842;;1er janvier, 1er mai, 11 novembre, 25 décembre;Ouvert du 1er avril au 30 septembre du mercredi au lundi de 10h à 12h et de 14h à 18h et du 1er octobre au 31 mars du lundi au vendredi de 10h à 12h et de 14h à 17h et du samedi au dimanche de 10h à 12h et de 14h à 18h;;05/07/2012;;48.958112, 4.362901;48.958112, 4.362901;48.9640626928, 4.37886072639
GRAND EST;MEURTHE ET MOSELLE;Musée du Château de Lunéville;5432901;Place de la Deuxième Division de Cavalerie;54300;LUNEVILLE;0383760475;0383730312;http://www.chateauluneville.meurthe-et-moselle.fr/;;"Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h
Le parc est ouvert du 1er octobre au 30 avril de 6h à 19h et du 1er mai au 30 septembre de 6h à 22h";;01/02/2003;;48.594765, 6.491166;48.594765, 6.491166;48.581973576, 6.53531320598
